,Name,Company,State,City,Salary,Location,Url,Description
0,Data Analyst,DentaQuest,WI,Milwaukee,$40k-$73k,"Milwaukee, WI",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=901743&s=149&guid=000001714808f897af8b7484a7812451&src=GD_JOB_AD&t=SRFJ&extid=4&exst=O&ist=L&ast=OL&vt=w&slr=true&cs=1_fe6b6aa7&cb=1586051480087&jobListingId=3512055843," 


The Data Analyst is primarily responsible for the operational execution of data extracts and exchanges with DentaQuest's clients and vendors. This includes loading and processing data files, various operational data maintenance functions, and systemic delivery of files to third parties.

PRIMARY JOB RESPONSIBILITIES:

• Perform routine and ad hoc encounters and claim resubmissions.

o Use SQL tools to resubmit encounters for clients such as NY, FL, and other markets

o Work with BAs and developers to streamline/automate processes

• Run, edit and maintain data extracts, applications, and ad-hoc queries as requested by internal and external customers using SQL, SSIS, Informatica toolset (Powercenter, B2B with MFT)

o Analyze discrepancies with invoice detail files, provider files, etc.

o Re-run TWS or manual jobs to ensure data delivery and compliance

o Run, test, deploy, or retire TWS jobs as needed

o Ensure scheduled and ad hoc extracts are delivered per schedule

o Ensure scheduled EDI and flat files are received per schedule

o Onboard inbound and outbound client data to automated file transfer solution

o Track inbound/outbound files, errors, and discrepancies; identify and report trends.

• Analyze data and extract requests and help define technical specifications for efficient development.

o Requests include custom flat files and a significant focus on healthcare encounters and HIPAA X12 transactions: 837, 999, 277, 835

o Support BAs by reviewing and/or updating data maps, spec docs, etc.

o Write/update run docs and other documentation related to deployed extracts

o Collaborate on the definition, development, and maintenance of standards and processes.

• Facilitate and perform deep-dive data analysis and reconciliation with external clients

o Use SQL tools to develop and automate enrollment reconciliation reporting

o Support enrollment error management

o Develop a thorough understanding of clients within the assigned region

o Identify and coordinate data changes impacting clients and extracts across multiple business units and departments

o Maintain documentation associated with contractual requirements; track operational results to ensure quality metrics are achieved and/or exceeded.

• Demonstrate expertise in a variety of IT concepts, practices, and procedures and maintains general knowledge of company-wide processes and systems (e.g. Windward).

• Successfully manage a high volume of projects and tasks with, often with competing priorities.

• Ensure regulatory and legal compliance (HIPAA) within the department.

• Drive continuous improvement in CDM solutions and processes.

• Support DentaQuests goals and objectives by working closely with the management team to deliver value to the business.

• Serve as a mentoring resource for other team members.

• Other duties as assigned.

JOB REQUIREMENTS:

• BS degree in Business, Computer Science, Engineering, Information Systems or related field (or equivalent experience)

Proficiency in the following technical concepts:

• 2 years of experience in a business role with operational deliverable responsibilities.

• Knowledge of general computer software.

• Expert level proficiency in the use of advanced features of MS Office.

• Relational Database concept knowledge (SQL Server preferred)

• Exposure to ETL, reporting concepts, SQL, or SSIS preferred.

• Experience with SQL queries.

• Good interpersonal skills.

• Excellent verbal and written communication skills.

• Ability to prioritize and organize multiple tasks with high attention to detail.

• Desired knowledge of dental or medical insurance claims processing including:

o Hands-on experience with HIPAA EDI transaction formats including 837, 835, 277, 997, 999, 834

o Familiarity with appropriate handling of PHI data

PHYSICAL DEMANDS:

• Incumbent must be able to communicate effectively.

• Requires overall light physical effort (up to 25lbs.)

• Manual dexterity and sitting are required in carrying out the position's own position responsibilities (i.e. use of a personal computer).

• Ability to travel or move about within and outside serviced facilities required.

• Incumbent works primarily in either a private or shared office environment.



"
1,Associate Data Analyst,The Hanover Insurance Group,MA,Worcester,$34k-$61k,"Worcester, MA",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=882642&s=149&guid=000001714808f897af8b7484a7812451&src=GD_JOB_AD&t=SRFJ&extid=4&exst=O&ist=L&ast=OL&vt=w&slr=true&cs=1_cc4463a9&cb=1586051480089&jobListingId=3480307900,"Friday, January 17, 2020

 

Our Enterprise Data and Analytics group is looking for an Associate Data Analyst to join our growing team in our Worcester Headquarters. 


Position summary:



Applies analytical skills to the development and enhancement of unique proprietary business tools that drive the optimization and consolidation of Agent partners business and are strategic differentiator to the unique Hanover business model. Assists in developing tools, processes and reporting analytics in support of business growth and ongoing business needs. Communicates with customers, external partners and internal departments frequently.


This is a full-time, exempt role.

Responsibilities/Essential Functions:



•	With oversight, provides support to complex business/technical processes and tools for multiple products, requiring the use of technical solutions across multiple departments or lines of business. • Serve as a team member on projects of large scope and moderate to high complexity. Able to work independently with guidance and direction as appropriate.


•	Has aptitude to develop and learn multiple technical business systems enterprise wide.


•	Develop data and reports for field and customers to clearly articulate value to agent partners and customers.


•	Provide timely and accurate analytical support to team supported, ensures results are validated to ensure accuracy.


•	Develop an understanding of business processes and the P&C Insurance business to translate requirements into analytical reporting.


•	Summarize information and effectively communicate analyses in writing and verbally to internal partners.


•	Participate in the development of innovative solutions by approaching problems with curiosity and open-mindedness, using existing information to its fullest potential.


•	Interviews business users to obtain data requirements for applications.


•	Collect, analyze, and report data to meet customer needs.


•	Participate in the development of new tools and process enhancements to enable new capabilities and solutions to drive business growth.


•	Assist in various projects, meet deadlines, and handle multiple priorities in a fast-paced, ever-changing and evolving business environment.


•	Establishing relationships with one or more business partners by building knowledge of business processes/drivers and technical systems.


•	Document processes to allow for consistent approach to future initiatives.


•	Proactively research and apply Best Practices to technology solutions. • Participating in the development of prototypes for various reporting, system and tools.


•	May research, Prototype and Write research briefs on emerging technologies related to data and analytics.


•	May develop code, tests, debugs and document working data and analytics systems to demonstrate the business value.


•	May apply proven data management techniques, application development methodologies and other technologies to produce comprehensive prototype solutions.


•	May perform source system data analysis.

Position Requirements:



•	Bachelor’s degree or 1+ years of related analytical experience required.


•	Solid understanding of Microsoft Excel.


•	Strong business and financial acumen, has the aptitude to learn.


•	Intellectually curious.


•	Solid analytical and problem solving skills.


•	Strong communication and interpersonal skills.


•	Self-motivated and organized.


•	May require knowledge of programming language and scripting language related to data and integration.


EEO statement:

“The Hanover values diversity in the workplace and among our customers. The company provides equal opportunity for employment and promotion to all qualified employees and applicants on the basis of experience, training, education, and ability to do the available work without regard to race, religion, color, age, sex/gender, sexual orientation, national origin, gender identity, disability, marital status, veteran status, genetic information, ancestry or any other status protected by law.

Furthermore, The Hanover Insurance Group is committed to providing an equal opportunity workplace that is free of discrimination and harassment based on national origin, race, color, religion, gender, ancestry, age, sexual orientation, gender identity, disability, marital status, veteran status, genetic information or any other status protected by law.”

As an equal opportunity employer, Hanover does not discriminate against qualified individuals with disabilities. If you require a reasonable accommodation, as a candidate for employment, please inform The Hanover Talent Acquisition office.

Privacy Policy:

To view our privacy policy and online privacy statement, click here.

Applicants who are California residents: To see the types of information we may collect from applicants and employees and how we use it, please click here.

Other details




 

 Job Function

 Actuarial



 Pay Type

 Salary


 
"
2,Data Analyst II,"Insight Enterprises, Inc.",TX,Plano,,"Plano, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=955436&s=58&guid=000001714808f897abeb4a0f3c81fae3&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&cs=1_139c042a&cb=1586051480090&jobListingId=3545961113,"
Maintain data to meet company standards


Data includes images, technical specifications and other data elementsEnsure automated data feeds successfully populate materialsManually populate non-automated data as necessary via proprietary systemIdentify system enhancements to improve automated processes and quality of informationPerform audits to ensure accuracy of assigned manufacturers or categories

Communicate with providers and manufacturers to ensure complete product data is supplied


Request necessary informationIdentify areas of improvement and provide feedback
Review data standards for assigned manufacturers and/or categories


Implement data standard improvements through manual and automated means to meet needsProvide customer service support for both external and internal customersSupport and validate teammate adherence to master data policies.

Review automated data feeds for successful materials creation


Ensure materials are created correctly via download processIdentify and communicate reasons for automated failures to improve processManually process download failures
Determine if Sales requests meet Insight Catalog Policy


Review opportunities and determine if it is appropriate business for InsightProvide guidance to address future opportunitiesEnsure materials are not added to the catalog that do not fit Insight strategy
Manually create non-automated materials proactively or reactively according to company policy


Create materials via proprietary systems and/or SAPDetermine appropriate source, costing and categorizationProcess internal requests for creation
Discontinue materials that are no longer available and/or based on company policy

All other assigned duties

Advanced spreadsheet skillsAbility to analyze and troubleshoot information for resolutionAbility to work well in cross-functional teamsAbility to multi-task in a fast-paced environmentAbility to meet aggressive service-level agreementsAbility to take a complex process or technology and create easy-to-follow copyExcellent written and verbal communication, with strong editing skillsKnowledge of AP styleVast knowledge of technical writing and styles associated with itCollaborating with marketing and IT on search engine relevancy as it relates to parts data’s influenceProficiency with MS Word, Excel, Outlook and SAP.Ability to write reports and/or business correspondence.Ability to effectively present information and respond to questions from groups of managers, customers, other employees.Ability to effectively present information to other departments and manufacturer representatives.Ability to read, analyze, and interpret business documents.Ability to effectively communicate via email, phone and in person.Ability to understand processes and identify areas of improvement.Ability to multi-task and demonstrate strong organizational details.
"
3,Data Engineer & Analyst,Interaxon,,Toronto,$60k-$97k,Toronto,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=975609&s=58&guid=000001714808f897abeb4a0f3c81fae3&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_ec822388&cb=1586051480091&jobListingId=3546433285,"

You stay on top of the technology stacks you work with, are interested in technologies that you do not, and are always excited to share what you learn.
You love to learn almost as much as you love to share your knowledge.
You can work independently with minimal oversight but deeply enjoy the process of collaborating with team members with a wide variety of skills and expertise.
You are ready to jump in over your head but know when to ask for help.
You believe that if you are not challenged from time to time, you are not able to fully grow both personally and professionally.



Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Google Cloud Platform ‘big data’ technologies.
Design and build ad-hoc reporting dashboards for business stakeholders across the company, aiding in analysis, or building advanced visualizations.
Work closely with our marketing team and product stakeholders to assess, develop, and accelerate performance marketing and customer retention metrics -- with a big focus on key KPIs. You will be hands-on with marketing reporting, and analysis along with the technical implementation planning & execution needed to do so.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Work with stakeholders across the company to assist with data-related technical issues and support their data infrastructure and reporting needs.



5+ years of experience in a Data Engineer and or Data Analyst role.
Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field or equivalent professional experience.
Advanced working SQL knowledge and experience with both relational and non-relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Experience building dashboards and visualizations with tools such as Google Data Studio and Mode Analytics.
Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.
Experience supporting and working with cross-functional teams in a dynamic environment.
Experience with big data tools: BigQuery, Apache Beam, Apache Airflow, etc.
Experience with relational SQL and NoSQL databases, including Postgres and Google Cloud Datastore.
Experience with multiple Google Cloud Platform services
Experience with object-oriented/object function scripting languages: Python, Ruby, C++, etc.

What we offer:"
4,E-Commerce Data Analyst,iSeatz,LA,New Orleans,$34k-$62k,"New Orleans, LA",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=946212&s=58&guid=000001714808f897abeb4a0f3c81fae3&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&cs=1_b19a2a76&cb=1586051480098&jobListingId=3492356899,"YOUUSE- Commerce Data AnalystJob Description:YOU
Collect, organize, analyze and present data from diverse sources Create dashboards to serve both internal and external stakeholder needs Implement Analytics on digital solutions Create datasets via tools&/or custom coding Collaborate with Product and UIX teams to improve existing solutions, support roadmap initiatives, and create new potential features Maintain current data initiatives and improve present-day structures Document existing and future data structures 
What will YOU bring to the role?
Bachelor's degree in Computer Science, Analytics, Information Systems or a related field 3-5 years of experience Experience with SQL, data modeling and mining, compiling of data from multiple sources Advanced Excel skills Experience with BI Reporting Tools& Dashboards required, DOMO preferred Experience with Analytics tools required, Adobe Analytics& Target preferred E-commerce experience preferred Salesforce Marketing Cloud experience a plus 
"
5,Lead Health Data Analyst - Database,Blue Cross & Blue Shield of Rhode Island,RI,Providence,$74k-$126k,"Providence, RI",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=973895&s=58&guid=000001714808f897abeb4a0f3c81fae3&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&cs=1_13c2d0bc&cb=1586051480099&jobListingId=3527118168,"Friday, March 13, 2020

 JOB

SUMMARY:

Independently lead the extraction and analysis of health

care data for specific studies and corporate initiatives. Lead data intensive projects and serve as a

technical resource to department staff and management on technical issues; develop

new analyses and reporting metrics to assist management with decision

making. Train and mentor less experienced

staff. Develop and improve automated processes

to increase the efficiency and accuracy of work products.

ESSENTIAL JOB FUNCTIONS:

Initiate and lead data intensive projects; translate quantitative findings into practical insights through the interpretation of data, trends and other sources. Prepare project results or recommendations for a wide range of audiences using written reports and presentation exhibits/graphics.

Perform complex analytical work of health care data. Utilize data to provide insights about customers and prospects to support the growth of various market segments. Conduct special data extraction and analysis studies. Summarize results and provide recommendations where appropriate. Design, implement, and maintain various databases as assigned; develop reporting capabilities and ensure data quality and documentation is adequate.Identify areas where operational efficiency can be improved through enhanced automation. Collaborate with technical staff on implementation of enhancements. Communicate necessary changes and enhancements to all internal/external customers.Represent the organization at external meetings.Provide recommendations and input to new contract provisions for performance guarantees. Respond to various Requests for Implementation as requested by marketing staff. Perform special studies as needed. Perform other duties as assigned.

QUALIFICATIONS:

Minimum Education and Experience:

Bachelor’s degree in Computer Science, Mathematics, Economics or related field; or an equivalent combination of education and experienceSeven to ten years health data analysis, business analysis, software application, database design, and technical documentation experience, preferably in the health insurance industry

Preferred Education, Additional Qualifications and

Experience:

Knowledge of applied statistics Knowledge of econometric modeling Knowledge of marketing analytic principles and modelingExperience utilizing competitive intelligenceBackground in Actuarial Science Experience with version control practices.Fluency in design patterns and application.

Required Knowledge, Skills, and/or Abilities:

Knowledge of CPT-4 and ICD-9 coding and covered benefitsUnderstanding of SAS programming, spreadsheet, and database software and other application development toolsKnowledge of general mathematical principalsWorking knowledge of Business Objects and WindowsUnderstanding of micro and mainframe computer systemsAbility to mentor, coach and provide guidance to othersAbility to understand, visualize, and code to specification.Ability to understand requirements and independently interpret and discern needs.Experience with Auditing data for accuracy and integrity.Expertise in ANSI SQL methodsExperience with transactional databasesExperience with third normal form database schema design.Expertise with denormalized database schema design.Expertise with SAS programming constructs.Experience with architecting analytical solutionsUnderstanding of object-oriented principles.Ability to parse and decipher SAS log output.Understanding of Claims DataUnderstanding of Enrollment and Attribution Data


At Blue Cross & Blue Shield of Rhode Island (BCBSRI), diversity and inclusion are central to our core values and strengthen our ability to meet the challenges of today's healthcare industry. BCBSRI is an equal opportunity, affirmative action employer. We provide equal opportunities without regard to race, color, religion, gender, age, national origin, disability, veteran status, sexual orientation, genetic information and gender identity or expression.

The law requires an employer to post notices describing the Federal laws prohibiting job discrimination based on race, color, sex, national origin, religion, age, equal pay, disability, veteran status, sexual orientation, and genetic information and gender identity or expression. Please visit http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf to view the ""EEO is the Law"" poster.

Other details




 

 Pay Type

 Salary


 
"
6,Data Analyst - Unbotify,Adjust,,United States,,United States,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=945827&s=58&guid=000001714808f897abeb4a0f3c81fae3&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&cs=1_e7c33867&cb=1586051480100&jobListingId=3525539626,"Unbotify was recently acquired by Adjust. This important milestone backs Unbotify's vision of fighting bot fraud while ensuring we remain independent in developing our unique technology and maintain our innovative & vibrant culture.Unbotify's mission is to provide a best in class solution to one of the major problems of web and mobile applications security today detecting malicious bots. Our unique focus on behavioral biometrics derives from years of experience in the field and a deep knowledge of existing detection methods and their inherent shortcomings.We are looking for a Data Analyst to join the Unbotify team based in Israel (Tel Aviv).What we offer you: - A competitive salary- Flexibility in work schedule- Pension fund Contribution- An international team with a strong focus on transparency- Regular team gatherings and company retreats- An opportunity to do office exchanges in other satellite locations- Additional perks such as gym reimbursementMore details about our company culture and perks can be found on our careers page.  Your role:-Own critical steps in the customer's life-cycle-Work closely with our Data Science team, detect new types of bots and extract meaningful insights from our rich behavioral-biometric data-Detect patterns in complex data via advanced analysis tools and statistical methods-Play an active role in increasing the quality of our product and technologyYour tasks:-Analyze prediction results (bot/human) and detect potential False Positives and False Negatives-Perform freestyle research, to detect new bot patterns - and bring them to production (detection pipeline)-Advanced technical customer support-Visualize and present insights both internally and to customers-Validate incoming customer's biometric dataYour profile:-Extremely passionate about data-driven problems-Excellent communication skills (both written and verbal) in English-A Bachelor's degree in a technical field-Super-advanced data-analysis skills using BI tools (Tableau / Qlik / Power BI)-Proven experience in advanced statistical analysis-Love working in a team and has the ability to work well independently and lead big projects-Experience in fast-paced environments, meeting tight deadlines while prioritizing workloads-Fast learner, with strong attention to details and a ""can do"" mentality-Experience with Python/Pyspark - a big Plus-Experience with Machine Learning methods - a Plus"
7,Data Analyst,Synagro,MD,Baltimore,$43k-$81k,"Baltimore, MD",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=960179&s=58&guid=000001714808f897abeb4a0f3c81fae3&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&cs=1_a84544ec&cb=1586051480102&jobListingId=3521246002,"
Daily tasks include exporting information from various systems and databases to spreadsheet and reporting software and creating detailed yet concise scheduled and ad hoc reports for end users.Gather requirements and create specs for report development.Be a problem solver working with end users to resolve technical issues as well as business reporting issues. Provide suggestions to enhance current reporting capability to meet future business needs.

Advanced MS Excel and VBA skills.Strong analytical thinking and problem-solving skills.High attention to detail.Ability to work under minimal supervision and use own initiative.Ability to work under pressure and deadlines.Excellent communication and collaboration skills.Ability to manage multiple priorities under a full workload with aggressive deadlines

Bachelor’s degree in Information Systems, Business, Engineering Preferred Minimum 1-3 years’ experience with data analysisMinimum 1-3 years’ experience using SQL, access, and excelPreferred: Knowledge of NetSuite, DOMO, Adaptive, and Pedigree
"
8,Data Analyst,Yesler,WA,Seattle,$46k-$85k,"Seattle, WA",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=971322&s=58&guid=000001714808f897abeb4a0f3c81fae3&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&ea=1&cs=1_ec1cfd47&cb=1586051480103&jobListingId=3540140643,"Key ResponsibilitiesYou participate in the creation of client-facing measurement strategies, from KPI selection to data capture requirementsYou develop and implement data analyses, data collection systems and other strategiesYou consult on and build data backend infrastructure using platforms like Azure and AWSYou automate manual reporting processes using technologies like PythonYou use ETL/ELT tools to connect disparate data sources into Yesler's Data LakeYou extract, clean, and integrate data from disparate data sources using SQL or big data solutions like Apache SparkYou build and manage business intelligence dashboards, using tools like Tableau and Power BIYou interpret data and analyze results using statistical techniquesYou support the team in contextualizing data trends and uncovering actionable data insights for our internal and external clientsYou work across functional teams (e.g. Media, Creative, Tech) to identify opportunities for optimizationYou contribute to ad hoc performance analyses that encompass a variety of digital and traditional channelsRequirements5+ years of experience in marketing data analytics and BI dashboarding, preferably with a B2B focus and ideally, in an agency environmentTechnical chops: Tableau, PowerBI, SQL, and Excel wizardry are required. Google and/or Adobe Analytics experience is preferred. Experience in either R or Python is a strong plus.Ability to learn systems and acquire technical skills quickly, and have a problem-solving attitudeData infrastructure/backend experience with Azure or AWS is a strong plusYou're a phenomenal teammate but able to work independently as wellBenefits
 Health Care Plan (Medical, Dental & Vision) Life Insurance (Basic, Voluntary & AD&D) Paid Time Off (Vacation, Sick, Holidays & Floating Holidays, Jury Duty, Bereavement) Family Leave (Maternity, Paternity) Short Term & Long Term Disability Training & Development (up to $1500/yr ProDev allowance for resources/classes) Mobile Phone or Internet Benefit – $25 per paycheck subsidy Green Commuting Benefit – Incentive program to walk/bike/carpool 3+ days per week Work From Home Free Food & Snacks  …and more!
About Yesler"
9,Modeling Data Analyst,University of Michigan,MI,Ann Arbor,$31k-$53k,"Ann Arbor, MI",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=975314&s=58&guid=000001714808f897abeb4a0f3c81fae3&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&cs=1_4d2fa507&cb=1586051480104&jobListingId=3545178453,"Term Appointment
	Conduct data analysis using a scripting (computer programming) for all development models	Evaluate the performance of ecological and hydrodynamic models of the Great Lakes by statistical comparison of modeled versus observed water quality, biological, and physical variables	Oversee numerical hydrodynamic and biophysical models of the Great Lakes using a high-performance computing system	Conduct model transition to real-time forecasts	Conduct model skill assessment and hindcasts	Present data findings to internal and external audiences and contribute to the publications in scientific journals
	A bachelor’s degree in the natural sciences, engineering, or related field	1 or more years of experience in ecological data, research and professional activities (e.g., large gridded data sets from model output or remote sensing	Ability to analyze data, measure uncertainty, and report results promptly	Ability to discreetly handle sensitive sampling data	Strong communication skills	Demonstrated ability to work in a collaborative environment and independently
	Master’s degree preferred	Experience handling ecological and geophysical data in multiple formats such as ASCII, NetCDF and familiarity with a linux/unix computing environment.	Experience with hydrodynamic/ocean modeling	Experience with scripting data analysis software such as R, IDL, Python, or Matlab
"
