Job Title,Location,Company,Salary,Description,Source
Data Analyst,"Pittsburgh, PA 15289",Sheetz,None,"Data Analyst
If you are a current employee, click here to apply
Location: Sheetz Corporate - PITTSBURGH, PA
PRIMARY PURPOSE OF THIS POSITION:

Assist in creating and driving business value and growth though the effective use of Sheetz most valuable resource: Data. Responsible for leading Sheetz data and information strategy through data analysis and visualization in order to facilitate and enhance organizational decision-making and data utilization across the company. Provides advanced data analytics support to the Senior Data Analyst while providing mentorship to the Associate Data Analyst around data analytics and information strategy.

ESSENTIAL FUNCTIONS: (other duties may be assigned)
Cultivate data-driven insights that help support exploitation of strategic and tactical business opportunities, and be a champion for a data-driven, decision-making culture.
Support data strategy leadership in the development, assessment, refinement and implementation of corporate strategy through effective use of data analytics.
Provide enterprise-wide data science and business intelligence services as well as recommendations to decentralized, embedded data scientists and analysts throughout the business.
Assist Senior Data Analysts and management in providing training for departmental and distributed data analysts.
Oversee and present robust ad-hoc reports, data models, and deep dive analysis to provide clear observations so that managers can make more informed decisions.
Develop and mentor future data-driven, analytical leaders and strategists within the team.
Assist with a wide array of analytical tasks and projects requested by other departments.
Supports the Senior Data Analyst position with ad-hoc advanced analytics.
Assist in the creation of policies and procedures for the access, analysis and visualization of data and associated business insights; partnering with IT and RISC.

REQUIREMENTS: (Equivalent combinations of education, licenses, certifications and/or experience may be considered)

Education
Bachelors degree in Economics, Statistics, Mathematics, Actuarial /Data / Computer Science or related field required
Experience
Minimum 3 years demonstrated experience in data modeling, optimization, and application to business strategies required.
Minimum 3 years demonstrated experience in integrating complex, inter-departmental processes and information strategies, and/or designing strategic metrics and scorecards required.
Thorough understanding of the latest data mining, machine learning and/or artificial intelligence techniques required.
In-depth experience with or coursework in designing and implementing information solutions required.
Licenses/Certifications
N/A
Tools & Equipment
N/A

ABOUT SHEETZ
Sheetz, Inc. is a fast-growing, family-owned, food/convenience company that has been in business since 1952. Sheetz has over 600 locations in Pennsylvania, Ohio, Virginia, West Virginia, Maryland and North Carolina.

Our mission at Sheetz has been to meet the needs of customers on the go. Of course, things have changed over those nearly 70 years. Life is faster and busier, and customers expect us to be there when they need us most. One thing that hasn't changed is our commitment to our customers, our employees and the communities in which we operate. Sheetz donates millions of dollars every year to the charities it holds dear.",Indeed
Data Analyst with sql,"Richmond, VA",First Notch Technology,$22 an hour,"Job Summary
Role-Data Analyst with Sql
Location-Richmond, VA & Vienna,VA
Contract Duration-Long Term
Visa-Any
JD- Our Client is looking for a candidate with 1+years of relevant experience with SQL experience
High level of AWS experience
Python knowledge or experience.
Job Type: Contract
Salary: $22.00 /hour",Indeed
Credit Analyst II,"Clearfield, PA",Riverview Bank,None,"Riverview Bank is seeking a motivated, highly successful candidate to perform credit analysis on complex commercial credits, provide credit-related information regarding commercial credits and work with our Relationship Managers in a timely manner consistent with our policies; and ensure analysis accurately reflects the risks associated with the credits. This list is not all inclusive.
RESPONSIBILITIES
Analyzes data and evaluates the short- and long-run prospects of the individual or company, i.e., creates comparison spreads and ratios, prepares reports, presents questions or problems to loan officers, prepares cash flows and debt service coverage, requests additional information as needed, etc.
Receives data on prospective and active borrowing accounts, i.e., financial statements, agency reports, and interview and investigation sheets.
Contacts customers or their accountants regarding questions about financial statements.
Provides a credit risk rating after conducting a cash flow and collateral analysis or a full credit analysis and documentation review.
Provides thorough documentation of all financial analysis work, including ratios and other related information.
Ensures that all credit analysis activities are conducted in accordance with prescribed lending policy.
Tracks application status, approval, and loan policy exceptions.
Provides all necessary credit analysis work for review by Officers Loan Committee and Directors Loan Committee.
QUALIFICATIONS
Bachelor’s degree/equivalent or 3-5 years related experience required.
Ability to travel to various locations
Riverview Bank is an Equal Opportunity, Affirmative Action Employer and does not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of age, race, color, religion, natural origin, sex, disability, medical condition, veteran status, marital status, sexual orientation, genetics or any other non-job-related factor. We value the contribution that the diversity of our applicants can bring.
Job Type: Full-time
Experience:
relevant: 3 years (Preferred)
Credit Analysis: 3 years (Required)
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off",Indeed
FCC Data Analytics Analyst,"Miami Lakes, FL 33016",BankUnited,None,"SUMMARY: The qualified person will be responsible for supporting the FCC business units through the utilization of technical and business knowledge to recommend solutions that solve business problems and reporting needs, amongst other skill sets. This includes identifying and defining data analytics needs as well as the structuring and analysis of data from multiple source systems for the purposes of creating and maintaining reporting (e.g. visual and flowchart modeling).
ESSENTIAL DUTIES AND RESPONSIBILITIES include the following:
Support the data mining, reporting and general analytics needs of the FCC department
Identify process gaps and recommend new opportunities for process improvement through the use of quantitative analytics
Apply statistical techniques to interpret risk and develop solutions for business consumption
Leverage understanding of multiple data structures and sources to perform complex data manipulation using advanced data extraction and analytical tools and techniques
Recognizes the connection between the business operations and analytics to influence business strategies through the interpretation and explanation of data to FCC stakeholders
Supports development of innovative approaches and best practices
Ensure that operational reports are complete and provide accurate data to enable business functions to carry on day-to-day operations
Works with FCC stakeholders to develop ad-hoc reporting
Prepare reports in a manner that is clear and comprehensible to FCC supervisors/managers, internal auditors and regulatory examiners
Communicate production issues with key stakeholders such as business lines, FCC management team, and the IT Department.
Maintain working knowledge of Bank system platforms
Handle a large workload with the ability to complete the tasks correctly and efficiently within the designated timeframes; exercise discretion in setting priorities
Coordinate, develop and/or review exam and audit deliverables
Assist FCC stakeholders in conducting data validation and other system testing, as needed
Possess a general commercial awareness of banking and BSA/AML and Fraud risks
Perform any other assignments as directed by manager.
SENIOR LEVEL RESPONSIBILITIES: None.
QUALIFICATIONS/COMPETENCIES:
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
EDUCATION and/or EXPERIENCE:
Bachelor's degree in Computer Science, Data Analytics, Data Science, Management Information Systems or a related field
At least 4 years working with data modeling, software implementation, enhanced reporting analytics and/or related experience in financial services data analysis and/or application development
Mastery of analytic and data visualization tools such as SAS, SQL, Adobe Analytics (formerly Omniture Site Catalyst), Tableau, IBM Digital Analytics (formerly Coremetrics), Google Analytics, Webtrends, Python or R, etc.
Ability to multitask, meet deadlines, manage competing demands/multiple projects, maintain a strong sense of urgency and follow through in addressing issues
Effective and persuasive presentations (verbal and written) for project teams and business leaders.
Maintains strong attention to detail in high-pressure situations
Solid understanding of data warehouse and dimensional modeling concepts",Indeed
Data Analyst,"North Chicago, IL",Rangam Consultants Inc.,$19 - $20 an hour,"Education:
1. Strong Math background.
2. Excellent Excel background.
a. Knowledge of pivots, vLookups, writing formulas to analyze data.
3. Experience in using Microsoft Power BI a plus.
Experience:
1. Candidate must exhibit strong analytic skills.
2. Must be able to take initial guidance and take task through to completion asking questions while providing some possible solutions.
3. Ability to research for answers and solutions.
4. Must have the initiative to anticipate some data requirements.
Job Type: Contract
Salary: $19.00 to $20.00 /hour
Experience:
VLOOKUP: 1 year (Preferred)
Excel: 2 years (Preferred)
data analyst: 2 years (Preferred)
Power BI: 2 years (Preferred)
Pivot Tables: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Location:
North Chicago, IL (Preferred)
Contract Renewal:
Possible
Benefits:
None
Schedule:
Monday to Friday",Indeed
Data Analyst,"Redmond, WA",TekTree Inc.,$35 an hour,"Experience Required:
Advanced Excel Skills (beyond just vlookups and pivot tables) – knows how to aggregate data sources and make data tell a story
SQL Skills (SQL Server)
Keen eye to review data and perform analysis
Familiar with financials, pipeline, score carding, and other measurement tools Some Functional (Partner, Services, Sales, Marketing) knowledge
Drive and support an enterprise Data Management project from vision to delivery and into maintenance & optimization
Support data stewarding efforts in reconciling master data hierarchy and implementing automation wherever to reduce future efforts
Think outside the box for creative problem solving, know how to find existing solutions to common problems
Patience in delivery, knows how to fail fast and move on to the next solutions – ambiguous targets sometimes aren’t clearly defined
Job Types: Full-time, Contract
Salary: $35.00 /hour
Experience:
SQL/ Advance Excel (aggregate data sources): 5 years (Required)
Data Analysis: 7 years (Required)",Indeed
Data Analyst,Remote,Owl Labs,None,"Owl Labs’ mission is to solve a problem we’ve all experienced: meetings suck, and they are especially painful for the remote participants on the other side of the call. Considering the rapid growth in remote and distributed work, this is a perfectly timed problem for Owl Labs to solve. The market is hungry for products and content that make remote and distributed work better.

Owl Labs is hiring a Data Analyst to join the Owl Labs Business Operations team. This is a perfect role for someone looking to accelerate their career quickly in a startup environment, grow their data skillset, support internal collaboration, and encourage a data-driven work culture.

As a Data Analyst at Owl Labs, you will be working directly with Developers and Business Leaders in collecting, maintaining, and analyzing data that can be translated into insights to guide our business strategy as well as inform product development efforts. You’ll be tasked with answering data-related questions in the form of charts, graphs, tables, and dashboards that can be presented to the company. In addition to technical skills, we’re looking for analysts who can communicate clearly and express ideas in verbal discussion, client communication, technical documentation, and architectural reviews. The ideal candidate will have a data-orientated personality and an excellent eye for details.

What You’ll Do:
Interpret data, analyze results using statistical techniques and provide ongoing reports.
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.
Use data to answer key questions about the business.
Identify, analyze, and interpret trends or patterns in complex data sets
Work with management to prioritize business and information needs.
Own and maintain dashboards, ongoing reports, and ad hoc requests from the organization.
Identify key business levers, establish cause & effect, perform analyses, and communicate key findings to various stakeholders to facilitate data driven decision-making

What You Need:
2+ years of experience in data, analytics, or a related function involving quantitative data analysis to solve problems.
Technical expertise regarding data models, database design development, data mining and segmentation techniques.
Strong knowledge of and experience with business intelligence and data visualization tools (DOMO, Tableau etc), databases (Amazon Redshift, Postgres etc), and programming (SQL, Python, R etc).
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc).
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.

Owl Labs is 33% remote and headquarters are based in Somerville, MA. This role is an on-site or remote position.

Please specify your location preference in your application and also submit a cover letter explaining why you think you’d be a great fit as our Product Manager.

Who We Are:
With $22.3M funding from Spark Capital, Matrix Partners, and Playground Global, Owl Labs has created the Meeting Owl, a 360° smart video conferencing camera that sits in the center of the table and uses robotics algorithms to automatically highlight different people as they talk. After launching the product in June 2017, thousands of companies have purchased the Meeting Owl, saying it offers the most natural and inclusive meeting experience they’ve ever seen.
Owl Labs is an Equal Opportunity Employer committed to our values of embracing inclusivity and creating a culture where everyone feels respected and connected, no matter the location of their work environment. We invite applications from people of all walks of life and are committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need accommodations due to a disability, please let us know.
Are you interested in applying for this position? Submit your resume, cover letter, and LinkedIn profile to careers@owllabs.com and someone from the Owl Labs team will be in touch.",Indeed
Sr. Data Analyst,"Washington, DC",Amivero,"$100,000 - $112,000 a year","Special Requirements
Must have a TS or CBP BI (Customs and Border Protection; no other clearance is applicable)
9yrs+ yrs Data Analysis experience
Primary Job Responsibilities
Support two offices in designing, implementing and executing a new data analytics shop to provide quick-turn analysis and daily reports to the customer.
Conduct an assessment to understand analytics tools, capabilities, and systems available across the CBP enterprise.
Support the design of an analytics hub within the office to help connect infrastructure and training to analysts.
Help design and execute project sprints using advanced analytic tools to test and model relationships on specific topics of interest.
Building visualizations of the reports to meet customer needs, running regressions, and performing time series analysis.
Review and analyze client operational data/existing models and provide feedback to enhance model capability and usability.
Work with and within cross-functional teams to identify appropriate business solutions to client challenges.
Effectively use Excel, Access, and R with Tableau and PowerBI.
Qualifications
Bachelor’s Degree required from an accredited college or university in a finance-related field
Experience with STATA, R, SPSS or equivalent
Experience with Tableau, Power BI and equivalent data analytic tools
Experience with Statistics, AI, or Machine Learning desirable
At least 9 years experience with data visualizations (Prezi desirable)
Use software tools (MiniTab, R, etc.) to examine datasets and identify outliers, trends, and relationships through rigorous statistical analysis
Ability to develop recommendations for improving organizational effectiveness or efficiency based on data review findings or model outputs
Ability to develop reports detailing the analysis of data and next steps for implementing organizational improvements
Ability to maintain good working relationships with clients to enhance customer satisfaction and work with client management and staff to perform engagement services
Ability to translate analytical findings into context that non-technical clients can understands
Flexibility and willingness to address client ideas and feedback
About Amivero
Amivero is a team of driven IT professionals motivated by challenges that allow us to be positively influential in the advancement of our nation. Success is having fun in a friendly, collaborative environment while continually learning and growing, resulting in rewarding performance.
As a member of the Amivero team, your professional satisfaction will be cared for through workforce development initiatives, a stipend for ongoing tech training, a flexible work schedule, retirement support, and incentives for meeting performance targets. Gather with us at Amivero’s family events, give back with our volunteer opportunities, and be rewarded for referring great professionals.
Job Type: Full-time
Salary: $100,000.00 to $112,000.00 /year
Experience:
Data Analysis: 9 years (Required)
License:
TS or CBP BI (Required)
Application Question:
Do you have a degree in business, finance, math, statistics, or economics?
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Professional development assistance
Tuition reimbursement
Schedule:
Monday to Friday
Company's Facebook page:
linkedin.com/company/amivero
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",Indeed
Immediate need of Data Analyst with strong SQL Server and any ERP,"Chicago, IL","Unicorn Technologies, LLC",None,"Job Title: Data Analyst with strong SQL Server and any ERP experience
Location: Chicago, IL
Contract: 12 Months
Required Skills:
· 8+ years of Data Analyst experience
· Strong Expertise on SQL Server
· Experience with any ERP.
Job Type: Contract",Indeed
Data Analyst,"Stamford, CT 06902 (Waterside area)","Battea - Class Action Services, LLC",None,"We are interviewing remotely using WebEx and other remote conferencing technology. Battea employees work remotely, according to current company Coronavirus policy, which is evaluated regularly. Employees are provided with the necessary equipment to perform their tasks while a work from home policy is in effect.
More details can be found here: https://www.battea.com/battea-class-action-services-statement-regarding-coronavirus-covid-19/
Background
Founded in the mid‐1990’s, Battea – Class Action Services, is the preeminent provider of securities class action recovery services to the institutional investment community. Battea processes detailed historical trade data and efficiently handles filings and collections of class action settlement recoveries on behalf of hedge funds and proprietary trading firms. Through its highly automated Claims Engine technology, Battea provides institutional investors with a full-service, outsourced solution for securities class action claims processing.
We are looking for talented individuals that possess a unique combination of business acumen, technical skills, securities industry knowledge as well as strong interpersonal skills in order to provide technical data analysis and innovative problem solving skills. The role entails in depth data analysis and collaborating with data team co-workers and Customer Service Representatives to drive automation and efficient and timely data processing.
As a Data Analyst at Battea – Class Action Services’ Stamford location, you will gain hands‐on experience in the fast growing world of securities and derivative instruments litigation settlements, while working with an experienced industry leader. You will help manage the receipt of data, analyze data for accuracy, create reports and work collaboratively with others to investigate and resolve issues. In this role, you will be a key part of the Data Analysis team which is highly visible and plays a critical role in achieving overall company goals. A competitive base salary and benefits package will be offered, commensurate with experience.
Responsibilities:
Communicate effectively with Account Managers and Operations staff
Manage large volumes of data and assist in retrieving and appraising new data
Work independently and extensively with SQL in data processing
Process and analyze data to ensure accuracy and completeness via SQL
Research inquiries, validate data patterns and solve complex business problems using SQL
Track data issues and satisfy ad hoc analysis requests in a timely fashion, while managing expectations
Monitor and implement data integrity across staging and production environments
Requirements:
Undergraduate degree, finance or technology preferred
Background in financial Industry oriented Information Systems or Medical Data, Math, Statistics, Economics or Finance
MUST HAVE a working knowledge of SQL, writing SQL queries and proficiency in MS Excel
Experience in analyzing data from various sources and formats, and applying data insights to cleanse and transform data into a standardized format
Experience in processing, aggregating and merging historical data sets from varying sources into a single unified dataset
Ability to identify, analyze, and interpret trends or patterns in complex data sets
Self‐motivated, inquisitive with a high level of integrity and able to complete tasks with minimal supervision
Detail oriented with exceptional analytical and creative problem solving ability with strong written and verbal communication skills
Flexible, comfortable working in a fast paced environment and able to adapt to quick changes
Minimum work experience of 2-5 years
Job Type: Full-time
Experience:
Excel: 2 years (Preferred)
sql: 2 years (Required)
Data Analysis: 2 years (Required)
Education:
Bachelor's (Required)
Additional Compensation:
Bonuses
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Schedule:
Monday to Friday
Company's website:
https://www.battea.com/
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",Indeed
