,Name,Company,State,City,Salary,Location,Url,Description
0,Data Analyst,Venmo,NY,New York,,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-venmo-1676571907?refId=eaea9b20-a9b2-47e6-b825-bbe3b7513cfc&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"['About Us', 'Venmo was founded on the principles of breaking down the intimidating barriers around financial transactions to make them intuitive, friendly and yes, even fun. And it worked: people love sending money with Venmo and we’re growing by leaps and bounds.', 'But we’re only just getting started.', 'We want to take that magic of sending money with Venmo and cascade it across every place where people use money. That means connecting people to their money in the most intuitive and fun way possible, then connecting people with each other. Users already love Venmo, but we know there are lots of things we have yet to imagine to make the Venmo experience even more delightful and valuable.', 'All that’s going to take a lot of collaboration. Let’s figure it out together!', 'What You’ll Do', ' ', 'Partner with subject matter experts to document and translate business requirements into technical requirements', ' ', 'Develop and maintain curated data sets using ETL and build/share data visualizations via dashboards', ' ', 'Develop reports, tools, and resources to empower data access and self-service ', ' ', 'Build, forecast, and report on metrics that drive strategy and facilitate decision making for key business initiatives', ' ', 'Design and analyze A/B experiments to evaluate the impact of changes we make to our product and business', ' ', 'Explore our vast data sets to identify and investigate new opportunities and efficiencies', ' ', 'Partner directly with members of our Product, Marketing & Business teams to present findings on user trends, product engagement, and experiment results in a digestible format', ' ', 'Effectively communicate your work with team leads and cross-functional stakeholders on a regular basis', ' ', 'Retrieve and analyze large data sets to identify key insights and influence the product roadmap', ' ', 'What We’re Looking For', ' ', '3+ years of analytics industry experience', ' ', 'A BS/BA in Math, Statistics, Economics, Business or a related technical field', ' ', 'Advanced proficiency with database querying technologies (e.g. MySQL or similar)', ' ', 'Experience with data visualization tools (e.g. Looker)', ' ', 'Intellectual curiosity', ' ', 'Experience converting large datasets into actionable business insights using SQL and Microsoft Excel and visualization tools such as Looker ', ' ', 'Proven analytical skills and ability to use data to back up assumptions, develop business cases, and complete root cause analyses', ' ', 'Comfortable taking initiative and proactively offering recommendations through analysis of various data sources', ' ', 'Experience juggling multiple priorities in a fast-paced work environment', ' ', 'A passion for Venmo', ' ', 'How To Really Get Our Attention', ' ', 'Experience with scripting and data analysis programming languages (e.g. Python, R)', ' ', 'An understanding of the payments industry', ' ', 'Experience in a high-growth tech environment', ' ', 'Technologies We Use', ' ', 'SQL (MySQL, Snowflake, BigQuery, etc.)', ' ', 'Airflow, Looker', ' ', 'Python', 'Seniority level', 'Entry level', 'Employment type', 'Full-time', 'Job function', 'Information Technology', 'Industries', 'Information Technology and Services', 'Computer Software', 'Internet']"
1,Data Analyst,Front,CA,San Francisco,,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-analyst-at-front-1814056275?refId=eaea9b20-a9b2-47e6-b825-bbe3b7513cfc&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"['Email is the universal communication tool for work. It’s where you discuss work, answer questions, and talk to all of your customers, vendors, and partners. But email wasn’t designed for business and hasn’t evolved with the way you work with a team. So you’re dropping the ball, missing important context, and relying on dozens of siloed apps just to get the job done.', 'With more than 5,000 customers Front is reinventing the inbox so people can accomplish more together. We’ve created one place where you communicate internally and externally, gain context about customers and projects, and access all your other tools so you can be more efficient, more fulfilled, and ultimately happier at work.', 'We’re looking for a collaborative and curious Data Analyst to join the data team. You’ll sit with the data team, working closely with our data engineers and other analysts. As an analytical partner to the leadership of Front, you will be tasked with designing, building and owning the answers to questions that require a deep understanding of our product and business operations. Additionally, you will contribute to the data team’s ongoing responsibility to develop, maintain and promote a system of access to metrics, detailed reports and dashboards.', 'Your work will include open-ended analytical exploration to inform decisions and raise insights, and to enable Front’s operations at scale you will build automated reporting and monitoring based on our business intelligence system and internal tools. You will be in a position of analytical leadership and collaborative partnership, with a focused goal to turn your insights into impact.', 'What will you be doing?', 'Partner with various teams to design and implement their success metrics, ongoing reports and necessary dashboards to ensure their success and comprehension of related data', 'Identify and clearly communicate insights and opportunities through exploratory analysis, including assessing trends, cohort, funnel analyses', 'Contribute to data modeling of underlying data in our warehouse to ensure reliable ground truth data in the form of consumer layers or data marts', 'Encourage other teams to self-serve when your interpretation of the data is not required, either through training or automation of tasks', 'Be a joint owner of the reporting and data access business intelligence tool for the company', 'What skills and experience do you need?', '4+ years experience in a highly analytical and quantitative role', 'Expert in SQL or equivalent data analysis framework', 'Clear written and verbal communication skills to convey the results of your analyses effectively', 'You have an  ownership mentality , focused on defining challenges and solutions', 'You are  impact-focused , eager to jump in and work in a fast-paced environment', 'You are  collaborative , forming trusting relationships with your cross-functional teammates', 'You are a strong  critical thinker , excited to solve ambiguous problems', 'You have a  low ego , focused on learning and open to feedback', ' Additional Preferences ', 'Expertise in data visualization', 'Expertise in data modeling and data warehouse-based analytical work', 'Experience in collaborative research or cross-functional working groups', 'Experience with BI tool-based dashboard creation and reporting at scale', 'B2B SaaS or general startup experience', 'An interest systems thinking', 'Front provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age or disability.', 'Seniority level', 'Entry level', 'Employment type', 'Full-time', 'Job function', 'Information Technology', 'Industries', 'Information Technology and Services', 'Computer Software', 'Internet']"
2,HEALTHCARE DATA ANALYST,UHS,TX,Laredo,,"Laredo, TX",https://www.linkedin.com/jobs/view/healthcare-data-analyst-at-uhs-1807773896?refId=eaea9b20-a9b2-47e6-b825-bbe3b7513cfc&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"['Responsibilities', 'JOB SUMMARY:', 'The Healthcare Data Anaylist is skilled in healthcare administration as they are in business management. Healthcare Data Analysts is a quantitative specialists who understand the business needs of a hospital and how to use data to achieve those needs. Their duties include organizing and managing large and varied data sets, analyzing healthcare data to optimize business operations and communicating their findings through the use of data visualization and detailed reports per the direction and requests of the Quality Director.The Healthcare Data Analysts is a diligent problem solvers who uses data in creative ways to reach business goals.', 'Essential Job Functions', 'Compiling and organizing healthcare data.', 'Analyzing data to assist in delivering optimal healthcare management and decision making.', 'Using healthcare data to achieve administrative needs and goals.', 'Understanding data storage and data sharing methods.', 'Investigating data to find patterns and trends.', 'Understanding healthcare business operations.', 'Utilizing different data sources for analyses.', 'Converting data into usable information that is easy to understand.', 'Developing reports and presentations.', 'Communicating analytic insights to management, physicians and other healthcare professionals.', 'Qualifications', 'MINIMUM QUALIFICATIONS:', ""Associate's degree in related field (Mathematics, Statistics, or Healthcare). Bachelor's degree preferred."", '2 years experience in an analytic role.', 'Proficiency with Windows, Excel, and other database programming.', 'Proficiency with data analytics software for data manipulation.', 'Experience with data visualization tools.', 'Knowledge of data management applications.', 'Proficiency managing electronic medical records.', 'Analytical mindset with good problem-solving skills.', 'Excellent written and verbal communication skills and some knowledge of medical terminology.', 'Good interpersonal skills', 'Seniority level', 'Not Applicable', 'Employment type', 'Full-time', 'Job function', 'Information Technology', 'Industries', 'Hospital & Health Care']"
3,Data Analyst,Live Nation Entertainment,CA,Los Angeles,,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-analyst-at-live-nation-entertainment-1795100687?refId=eaea9b20-a9b2-47e6-b825-bbe3b7513cfc&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"['Job Responsibilities:\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0\xa0', ' ', 'Tier 1 & 2 Business Intelligence (BI)/Analytics support', 'Field support calls, email requests and manage support queue ', 'Resolve issues within technical capability ', 'Frequently communicate issue status with customer and verify fix when complete ', 'Triage and track escalated issues with other technical resources ', 'Provide training and technical guidance ', 'Address performance and access issues ', '  ', 'Develop reports      and prepare summary analyses to validate system accuracy ', '  ', 'Use      strong analytical skills to interpret a wide variety of data from multiple      sources ', ' ', 'Lead/participate in meetings with peers/business stakeholders to discuss open issues and analyze requirements to create or adjust reports/dashboards ', 'Design, develop, and test report deliverables based on specifications ', 'Participate in QA/Regression testing to support new releases ', 'Provide root cause analysis for incidents ', 'Work with peers/business to develop and implement corrective and preventative strategies ', 'Create and utilize existing SQL statements to investigate issues and correct data in databases ', 'Maintain ETL Job scheduling applications, troubleshoot and rerun failed jobs ', 'Monitor Live Nation (LNE)/Ticketmaster (TM) Data Delivery SLA Dashboards, escalate as appropriate ', '**SLA dashboard discussions and tracking WIP.  ', 'Automated Reports', 'Monitor performance of reports and reconcile discrepancies ', 'Create new and adjust current reports ', 'Maintain report schedules, troubleshoot, and escalate issues ', 'Add/remove users to/from report schedules ', 'SAP Business Objects User / Application Management', 'Prepare ad-hoc queries ', 'New User set up and training ', 'Folder and access management ', 'Remove inactive users ', 'Monitor server performance, review audit reports and make recommendations for improvements ', 'Skills:', ' ', 'SQL \xa0 ', 'Excel ', 'Preferred Experience with:', 'Relational and multi-dimensional database concepts ', 'Any BI reporting tool (SAP Business Objects, Tableau, Salesforce Analytics, Databricks, Cognos, Crystal Reports, etc.) ', 'Problem solving / critical thinking skills ', 'Excellent communication skills ', 'Ability to collaborate effectively in a matrix environment ', 'Demonstrated ability to learn new systems and the inner workings within ', '  ', 'Ability      to work in a rapidly evolving, fast paced culture and meet time-critical      deadlines', 'Seniority level', 'Mid-Senior level', 'Employment type', 'Full-time', 'Job function', 'Analyst', 'Industries', 'Music', 'Entertainment', 'Marketing and Advertising']"
4,Data Analyst,Tesla,CA,Fremont,,"Fremont, CA",https://www.linkedin.com/jobs/view/data-analyst-at-tesla-1786934097?refId=eaea9b20-a9b2-47e6-b825-bbe3b7513cfc&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"['The Role', 'As a Data Analyst on the Supply Chain Automation team, you will analyze and visualize data to help with the successful launch and scale of our various programs and so that we can make better decisions as a company. In particular, you will be the lead for ensuring that the large supply chain datasets we have are effectively utilized by the global supply management team.', 'Responsibilities', 'Create reports and data visualizations to guide decision-making across the supply chain team ', 'Communicate your findings effectively to anyone in the company from executives to engineers ', 'Experiment and learn rapidly ', 'Lead data analytics vision for global supply management ', 'Requirements', 'Bachelor’s degree in a quantitative field and/or equivalent experience or evidence of exceptional deductive ability ', 'Expert in data analysis, visualization, and communication, with prior full-time work experience strongly preferred ', 'Experience creating dashboards/visualizations using, e.g., Tableau (or similar) ', 'Proficiency with SQL, and comfort with PythonDetail-oriented/relentless, willing to find cracks in the system to expose problems ', 'Ability to work in a fast-paced start-up technology environment and deliver excellent results', 'Strong communication skills, and ability to work with multiple stakeholders.', 'Seniority level', 'Entry level', 'Employment type', 'Full-time', 'Job function', 'Information Technology', 'Industries', 'Construction', 'Information Technology and Services', 'Automotive']"
5,Data Analyst,TikTok,CA,Los Angeles,,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-analyst-at-tiktok-1806956609?refId=eaea9b20-a9b2-47e6-b825-bbe3b7513cfc&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"['Job Title: Data Analyst', 'Job Type: Full-Time', 'Location: Culver City, California', 'About TikTok', 'TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy.', '\xa0', 'TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul, and Tokyo.', 'Job Description', 'We are looking for a passionate Data Analyst who will turn data into understandable information, able to deliver clear goal-drive data reports to each Manager, leading to good insight that will help with accurate and effective business decisions. Come and help us grow out TikTok community!', 'RESPONSIBILITIES', 'Find actionable strategic insights through funnels, cohort analyses, user segmentation, retention analyses and regression models to help us grow our products', 'Partner with the product, data and marketing teams to answer high-priority strategic questions', 'Define KPIs, build automated dashboards, reports, and models to help teams make faster better decisions', 'Work with engineering and product to implement, qa, and monitor our logging and metrics', ""Regularly report findings and ongoing KPI's to marketing to provide visibility into campaign performance and assist in campaign optimization"", 'REQUIREMENTS', 'BA/BS in Computer Science, Math, Economics, Statistics, or other quantitative fields', '4+ years work experience doing quantitative analysis', 'Ability to synthesize and communicate complex concepts and analyses in easy to understand ways', 'A solid grasp of common statistical methods and applications (A/B testing, probability, regression)', 'Expert experience pulling large and complex data using SQL', 'Experience with a data visualization tool (e.g. Mode Analytics/Chartio/Tableau)', 'Familiarity with web analytics tools (e.g. Google Analytics/Adobe Analytics/Amplitude)', 'Excellent verbal and written communication skills', 'Self-motivated, detail-oriented, learn autonomously, and highly organized', 'Preferred Qualifications', 'Experience with marketing analytics (e.g. Attribution/Forecasting)', 'Experience working with very large data sets and distributed computing (Hive/Hadoop/MapReduce)', 'Familiarity with R or Python is a plus', 'Ability to approach problems creatively and build structure out of ambiguous requests', 'Bilingual English-Chinese (Mandarin) a plus', 'Seniority level', 'Mid-Senior level', 'Employment type', 'Full-time', 'Job function', 'Information Technology', 'Industries', 'Internet']"
6,Data Analyst,Banyan Health Systems,,Miami Metropolitan Area,,Miami Metropolitan Area,https://www.linkedin.com/jobs/view/data-analyst-at-banyan-health-systems-1788389017?refId=eaea9b20-a9b2-47e6-b825-bbe3b7513cfc&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"['Banyan Health Systems', ' has been serving Miami-Dade and Broward Counties since 1970. We provide quality, individualized care to each of our patients. Our system of integrated health services brings together specialized psychiatric care, primary care, pediatrics, geriatrics, and an extensive program of residential and outpatient substance abuse & behavioral health services under one umbrella. At Banyan Health Systems, we believe when individuals are healthy and strong, our communities are better for it.', '\xa0', 'We are currently looking for individuals who share our mission of integrating primary and behavioral health care while providing access to all individuals.\xa0We focus on providing quality and compassionate care in order to assist our patients in living their best life.\xa0We are dedicated to the endless pursuit of excellence and treat everyone with dignity, humanity, and respect.', '\xa0', 'If you share these beliefs and want to join us to make a difference, please take some time to read the post below.', 'EHR Data Analyst -JOB SUMMARY:', 'Responsible for the design, build, testing, training, and support of the electronic medical record (EMR) system. The Analyst requires little to no supervision as they build and maintain the system. The Analyst performs complex design and analysis tasks.', 'EDUCATION AND/OR EXPERIENCE', '3 years of EHR experience or a demonstrated expertise in your application subject matter', 'Bachelor’s degree in Healthcare, Business or Computer/Information Sciences OR an equivalent level of professional experience', 'Strong computer skills including Windows, Outlook, Word, Excel, Visio, and PowerPoint', 'Understanding of the implementation and/or maintenance of EHR NAME Electronic Medical Record systems.', 'IT and operational knowledge of clinical or revenue cycle processes in one or more areas of a hospital, clinic, or business office', 'Advanced understanding of Healthcare operations and structure, general requirements of an integrated delivery system, and use of IT applications in the practicing healthcare environment.', 'Technical expertise in subject matter areas demonstrated by documented experience in analysis, process and workflow design, research, installation/implementation and support of EHR SYSTEM.', 'Must have a minimum of 5 years SQL experience', 'Experience using Data Visualization tools (Tableau, Yellowfin BI, Practice Analytics)', 'Ability to independently prioritize work assignments, meet deadlines and manage multiple projects and/or priorities.', 'LANGUAGE SKILLS:', 'Ability to read, write and speak in\xa0', 'English and Spanish', '\xa0(or other languages) helpful. Must be able to read and comprehend simple instructions, short correspondence, and memorandums. Agility to effectively communicate information both orally and written on one-to-one and small group situations to clients and other employees.', 'Seniority level', 'Associate', 'Employment type', 'Full-time', 'Job function', 'Information Technology', 'Industries', 'Individual & Family Services']"
7,Data Analyst,Big Fish Games,CA,Oakland,,"Oakland, CA",https://www.linkedin.com/jobs/view/data-analyst-at-big-fish-games-1807894932?refId=eaea9b20-a9b2-47e6-b825-bbe3b7513cfc&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"['Job Posting TitleData AnalystSummaryAbout Self Aware Games', 'Self Aware Games has been creating innovative, genre-defining products since 2006. A winning mix of compelling content and engaging social experiences keeps us top-of-the-charts in the social casino category. Our flagship game, Big Fish Casino, has generated more than $1B in bookings to-date making it one of the best performing mobile games ever. Self Aware Games is based in beautiful downtown Oakland, Calif., and is a business unit of Seattle-based Big Fish Games, Inc., part of Aristocrat Leisure Limited.', 'Here Are a Few More Company Highlights', 'We are looking for passionate and highly creative game engineers, artists, designers, product managers, analysts (and more.) to help build the world’s #1 social gaming company. With a strong portfolio of live games and new products in development we are hiring in all disciplines. If you are a passionate game-maker who wants to innovate, contribute and hone your craft as part of a close-knit, collaborative and inclusive culture, Self Aware Games is for you.', 'We take care of our employees with competitive compensation, great benefits and a variety of perks including frequent team events, catered meals, commuter stipend and free professional massage.', 'We are committed to employee development and advancement with opportunities for growth across Big Fish Games and the Aristocrat family of companies.', 'Our beautiful workspace is open and light-filled and located in the vibrant Uptown neighborhood next to Lake Merritt and a short walk from the 19th Street BART station.', 'Responsibilities', ""We are looking for an amazing Data Analyst to work on our social casino products at Self Aware Games Studio in Oakland. You'll be responsible for running ad-hoc analysis, visualizing data, and analyzing our day-to-day operations. Successful candidates for this role have strong SQL and statistics skills, are passionate about games, and are clear communicators."", 'Responsibilities', ' Engage with PMs, designers, CRM managers to identify analysis requirements ', ' Develop a deep understanding of available data to drive ad-hoc analysis and answer questions ', ' Effectively write, present and communicate research results with recommendations ', ' Perform statistical analysis on experimental or business data to validate and quantify trends or patterns identified by business ', 'Build data pipelines, identify new telemetry requirements, create dashboards', 'Collaborate with the live-service team to run multivariate tests', 'Qualifications', ' Bachelor’s degree or equivalent work experience in Computer Science or related discipline such as Statistics, Mathematics, Economics, etc. ', ' Experience writing and optimizing SQL queries, and working with large data sets ', ' Data visualization and dash-boarding experience using Tableau, Looker, or similar ', ' 4+ years in the analytical space ', ' Experience with manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources including collecting, assembling data, cleansing, formatting, and validation of results ', 'Bonus Points', ' Experience in the gaming space ', ' Familiarity with a cloud platform. We use GCP and Looker ', 'Big Fish Games is an equal opportunity employer. We bring unique talents together to build something special that’s why we welcome and encourage diversity in the workplace regardless of race, gender, religion, age, sexual orientation, gender identity, disability or veteran status.', 'This role is not eligible for any company sponsored immigration visas.', 'Qualifications', ' ', 'Why Aristocrat?', ' ', ' World Leader in Gaming Entertainment ', ' Robust benefits package ', ' Global career opportunities ', ' Our core values: All about the player, Talent Unleashed, Collective Brilliance and Good Business, Good Citizen ', ' ', 'Our Winning Ways', ' ', 'Unite - Come together as one team, with one vision', 'Develop - Empower, inspire and grow our people', 'Deliver - Execute with excellence, be accountable for results', 'Play - Be creative, celebrate success', 'The US based roles may require registration with the Nevada Gaming Control Board (NGCB) and/or other gaming jurisdictions in which we operate.', 'Location', 'Oakland, CA, US', 'Job family', 'Big Fish Games', 'Contract Type', 'Regular', 'Time Type', 'Full time', 'Company', 'Big Fish Games', 'Seniority level', 'Entry level', 'Employment type', 'Full-time', 'Job function', 'Information Technology', 'Industries', 'Computer Software', 'Internet', 'Computer Games']"
8,"Data Analyst, Business Analysis and Reporting - Lakeland",Publix Super Markets,FL,Lakeland,,"Lakeland, FL",https://www.linkedin.com/jobs/view/data-analyst-business-analysis-and-reporting-lakeland-at-publix-super-markets-1808232773?refId=eaea9b20-a9b2-47e6-b825-bbe3b7513cfc&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"['Required Qualifications', 'Bachelor’s Degree in Analytics, MIS, Information Technology, Computer Science, Statistics, Engineering or another analytical discipline from an accredited college or university or equivalent experience', 'demonstrated experience solving analytical problems (work experience or course work)', 'knowledge of data analytics best practices as they relate to optimizing financial performance, labor efficiency and customer service', 'broad understanding of Information Systems design methodologies, testing, processes and language', 'knowledge of accounting/finance principles and exceptional math/statistics skills', 'leadership skills, including the ability to influence others', 'excellent written and verbal communication skills, including interpersonal skills', 'intermediate knowledge of Microsoft Access & SQL ', 'intermediate knowledge of Microsoft Excel ', 'exceptional multi-tasking and prioritization abilities', 'ability to work under minimal supervision and be self-directed with workload', 'strong negotiation skills', 'willingness to work extended hours and weekends to meet deadlines', 'Preferred Qualifications', 'MBA or Master’s Degree in Analytics ', 'three (3) or more years of analytics work-related experience', 'strong proficiency and experience in R and/or R Studio and/or Python', 'INFORMS Certified Analytics Professional or similar certification', 'recent completions of Coursera or similar courses to demonstrate ability to stay on trend with analytics', 'expert knowledge of Microsoft Excel and Microsoft Access', 'advanced knowledge of SQL', 'ability to assist the customer in understanding his/her needs and how they balance with the needs of Publix', 'general knowledge of Retail Operations, Purchasing, Forecasting, Manufacturing, Distribution', 'high-level understanding of supply chain methodologies, processes, and work flows ', 'knowledge of Corporate Purchasing Category Management and Buying processes and strategies', 'knowledge of Operations Research Linear/Non-Linear Programming, simulation, optimization and activity based costing', 'knowledge of any Business Intelligence tools (like MicroStrategy, Power BI, Business Objects, Tableau etc.,)', 'Year End Bonus', 'As a year-end bonus to associates, Publix issues one month’s extra pay (pro-rated in the first year) each year if associate remains employed through issue date of the bonus check that year. This is calculated as a 13th month of pay in the Potential Annual Pay with Bonus line above.', 'Benefits Information', '▪ Employee stock ownership plan that contributes Publix stock to associates each year at no cost', '▪ An opportunity to purchase additional shares of our privately-held stock', '▪ 401(k) retirement savings plan', '▪ Group health plan (with prescription benefits)', '▪ Group dental plan', '▪ Group vision plan', '▪ Sick pay', '▪ Long-term disability insurance', '▪ Company-paid life insurance (with accidental death & dismemberment benefits)', '▪ Tuition reimbursement', '▪ Vacation pay', '▪ Free hot lunches (buffet-style) at facilities with a cafeteria', '▪ Paycheck direct deposit', '▪ Credit union', '▪ Access to over 50 discount offers including discounts on computer, vehicle and wireless purchases', '▪ 6 paid holidays (Associates can exchange the following holidays with their manager’s approval)', 'New Years Day', 'Memorial Day', 'Fourth of July', 'Labor Day', 'Additional Information', 'Please be sure to monitor your email including your spam folder, daily for communications you may receive during the recruiting and selection process for this position. Please do not use your Publix email address when applying.', 'Once your application has been successfully submitted you will receive a confirmation email.', 'Seniority level', 'Not Applicable', 'Employment type', 'Full-time', 'Job function', 'Business Development', 'Sales', 'Industries', 'Retail']"
9,Data Analytics Analyst,Ocean Spray Cranberries,MA,Lakeville,,"Lakeville, MA",https://www.linkedin.com/jobs/view/data-analytics-analyst-at-ocean-spray-cranberries-1787467970?refId=eaea9b20-a9b2-47e6-b825-bbe3b7513cfc&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"['Ocean Spray believes that our employees are our best asset and we offer an environment where you can work with exceptionally smart, innovative, passionate teams that are motivated to deliver Ocean Spray products around the world. ', 'Position Summary', 'Ocean Spray is looking for a Data Analytics Analyst, ', 'someone who is an outstanding ', 'data storyteller, ', 'that can be a catalyst in our ongoing effort to become a data driven organization. Someone who can help us explore beyond rear view mirror reporting and tackle predictive/preventative analytics at scale. This role will work across all our business functions, platforms, and operations to perform analytics that supports decisions, and instills a data-first culture.', 'A Day in the Life of a Data Analytics Analyst:', 'Delivering insight to key business function leads throughout the co-operative through a virtual data hub team ', 'Putting forth cohesive business architecture story across various functions through design thinking. Show the art of the possible with rapid analytical prototyping, storytelling. ', 'Building models and designing experiments that seek to uncover truth ', 'Analyzing complex data made of unstructured, semi-structured and structured datasets to drive insights ', 'Active participant in defining data strategy, its execution path, and help build our digital data fabric collaborating with our product partners ', 'Working in a data factory model and work with vendors to scale up and maintain our environment that supports our business functions ', 'What We Are Looking For', 'BA/BS in computer science or related field or equivalent relevant experience, with a focus on data analytics/ data science ', 'Minimum 5 years of related experience. ', 'Experience working in cloud environment (Azure preferred, AWS and GCP experience is acceptable) ', 'Strong understanding of SQL and NoSQL databases, ability to query data from disparate data sources. ', 'Expertise in R, Python and SQL. ', 'Demonstrate ability to lead initiatives and work effectively with others within a complex, cross-functional and fast paced organization ', 'Excellent communication. Ability to present ideas and insights to business stakeholders ', 'Extensive experience with Data Visualization, preferably in PowerBI ', 'CPG industry knowledge ', 'All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.', 'Seniority level', 'Entry level', 'Employment type', 'Full-time', 'Job function', 'Other', 'Industries', 'Food & Beverages', 'Food Production', 'Consumer Goods']"
